no._of_cases,tempmax,tempmin,temp,humidity,precip,precipcover,Number of searches,Total Population 
84,31.12857142857143,24.91428571428571,27.114285714285717,84.64285714285714,6.900571428571429,10.712857142857143,13,5312437.0
104,33.471428571428575,25.885714285714283,29.114285714285717,73.7,0.06914285714285714,0.5957142857142858,13,5312437.0
99,31.642857142857142,25.0,27.5,80.38571428571429,3.6750000000000003,7.738571428571428,11,5312437.0
87,31.457142857142856,25.271428571428572,27.52857142857143,82.78571428571429,4.399857142857143,6.548571428571429,11,5312437.0
99,31.957142857142856,25.0,27.47142857142857,83.31428571428572,5.232428571428572,5.357142857142857,11,5312437.0
80,31.285714285714285,25.114285714285717,27.542857142857144,83.15714285714286,13.108,7.142857142857143,11,5312437.0
78,31.714285714285715,25.157142857142855,27.8,82.92857142857143,1.254714285714286,3.5728571428571425,10,5312437.0
104,31.571428571428573,24.942857142857143,27.47142857142857,81.82857142857142,8.659857142857144,6.547142857142857,10,5312437.0
92,31.228571428571428,24.52857142857143,26.842857142857145,85.95714285714287,15.143857142857142,14.87857142857143,10,5312437.0
111,31.25714285714286,24.542857142857144,27.02857142857143,85.04285714285713,9.464,10.715714285714286,10,5312437.0
132,31.7,24.485714285714288,27.385714285714283,82.64285714285714,21.14085714285714,5.952857142857143,15,5399162.0
204,32.385714285714286,25.185714285714287,27.814285714285713,78.54285714285713,11.073142857142857,4.167142857142857,15,5399162.0
219,29.728571428571428,24.87142857142857,26.728571428571428,81.45714285714287,17.175,10.714285714285714,15,5399162.0
264,30.97142857142857,24.728571428571428,27.357142857142858,79.24285714285715,0.6662857142857144,3.5714285714285716,15,5399162.0
292,31.328571428571426,25.357142857142858,27.814285714285713,76.67142857142858,5.051571428571428,2.9757142857142855,21,5399162.0
322,29.928571428571427,24.357142857142858,26.47142857142857,87.41428571428571,9.495571428571427,11.308571428571428,21,5399162.0
246,29.228571428571428,24.271428571428572,26.02857142857143,87.82857142857142,17.83,10.714285714285714,21,5399162.0
