datetime,tempmax,tempmin,temp,humidity,precip,precipcover
2012-04-08,31.6,24.6,27.6,84.3,0,0
2012-04-09,30.4,25.5,27.2,86.4,23.441,4.17
2012-04-10,31.9,23.9,26.6,89.4,29.518,8.33
2012-04-11,30.5,24.8,26.7,89.9,22.747,12.5
2012-04-12,31.3,25.7,28,81.7,0,0
2012-04-13,32.5,25.7,29.2,76.7,0,0
2012-04-14,32.4,25.5,27.9,84.6,16.495,8.33
2012-04-15,30.6,24.4,27.4,84.9,41.847,8.33
2012-04-16,32.8,25.7,28.5,81.7,0.348,8.33
2012-04-17,30.6,25.6,27.7,83.5,0,0
2012-04-18,32.9,26.3,29,77.4,0,0
2012-04-19,30.3,25.7,27.1,89.2,2.951,12.5
2012-04-20,33.3,24.7,29.1,76.4,0.339,4.17
2012-04-21,29,24.9,27,86.5,31.254,8.33
2012-04-22,31.9,25.4,28.3,81.2,5.383,8.33
2012-04-23,32.9,24.6,28.3,81.1,0.174,4.17
2012-04-24,30.6,25.6,27.2,87.4,4.075,12.5
2012-04-25,32.7,25.9,28.9,80.2,0,0
2012-04-26,32.5,25.7,29.3,74.5,0,0
2012-04-27,33.6,25,29.5,71.5,0.174,4.17
2012-04-28,33.7,26,29.7,75.3,0.521,4.17
2012-04-29,32.7,27.6,29.2,82.2,0,0
2012-04-30,33.2,26,28.5,82.9,2.083,12.5
2012-05-01,31.9,24.7,28.2,84.4,2.605,4.17
2012-05-02,29.7,25.4,27.6,86.1,0,0
2012-05-03,32.6,25.8,29.3,77,0.347,4.17
2012-05-04,32.2,26.6,28.8,82.6,30.386,8.33
2012-05-05,31.5,22.1,27.4,80.1,39.679,8.33
2012-05-06,32.5,24.4,27.2,85.4,29.518,4.17
2012-05-07,28.9,23,26.3,85.8,8.302,8.33
2012-05-08,34.3,25.6,29.2,75.7,0.471,4.17
2012-05-09,33,23.6,27.7,82.1,13.831,8.33
2012-05-10,33.5,24.7,28.5,80.7,0,0
2012-05-11,32.2,25.6,28.4,82.8,8.682,8.33
2012-05-12,33.6,25.7,29.7,76,0,0
2012-05-13,31.5,23.9,28,80.7,16.054,12.5
2012-05-14,33.9,26.7,30.2,72,0,0
2012-05-15,31.5,27.5,29.1,80.6,0,0
2012-05-16,33.3,23.4,28.8,77.9,19.187,8.33
2012-05-17,30,23.3,27.3,85.4,20.836,8.33
2012-05-18,32.9,25.8,29.2,78.5,0,0
2012-05-19,33.4,27.5,29.9,76.1,0,0
2012-05-20,32.4,26.7,29.1,79.8,5.209,4.17
2012-05-21,32.8,26.5,29.1,79.7,0,0
2012-05-22,32.8,26.4,29.6,77.1,0.174,4.17
2012-05-23,31.2,24.9,28.1,79.3,23.615,8.33
2012-05-24,31.9,26.5,29.2,75.4,0,0
2012-05-25,30.9,25.9,28.7,77.4,1.595,4.17
2012-05-26,31.3,26.6,28.3,83.6,0,0
2012-05-27,30.2,23,27.4,84.1,9.897,8.33
2012-05-28,32.2,25.7,29,78.8,0,0
2012-05-29,30.7,26.7,28.4,83,0,0
2012-05-30,32.9,25.9,29,78.9,0.695,4.17
2012-05-31,33.4,25.8,28.7,79.4,9.473,8.33
2012-06-01,30.8,25.5,28,83.6,24.174,8.33
2012-06-02,31.6,26.6,28.8,80.5,0,0
2012-06-03,30.9,25.7,28.4,81.5,0,0
2012-06-04,32.6,27.5,29.3,81.9,1.736,4.17
2012-06-05,32.8,26.6,29.4,80.5,0,0
2012-06-06,32.6,26,29.3,72.6,0,0
2012-06-07,33.5,27.6,30.5,66.9,0,0
2012-06-08,30.9,27.6,28.9,81.6,3.473,4.17
2012-06-09,29.4,23,26.8,85.1,29.096,16.67
2012-06-10,32.8,25.8,29.1,71.8,0.144,4.17
2012-06-11,31.6,27.3,29.3,80.5,0,0
2012-06-12,31.5,27.7,29.5,76.7,0,0
2012-06-13,32.9,26.7,29.8,72.4,0,0
2012-06-14,33.8,26.7,30,72.6,0,0
2012-06-15,32.9,26.6,29.9,73.8,0,0
2012-06-16,32.3,26.8,29.8,71.2,0,0
2012-06-17,32.3,27.6,29.8,70.6,0,0
2012-06-18,33.2,26.7,29.9,72.6,0,0
2012-06-19,31,26.6,28.7,79.3,0.868,4.17
2012-06-20,32.2,26.7,28.9,79.1,0,0
2012-06-21,31,27,28.3,78.2,0,0
2012-06-22,33.4,25.7,29.2,74.7,0,0
2012-06-23,33.2,26.6,29.7,73,0,0
2012-06-24,32.8,27.3,29.5,74.5,0,0
2012-06-25,32.9,26.6,29.3,75.3,0,0
2012-06-26,32.3,26.8,29.1,75.1,0,0
2012-06-27,30.6,26.4,28.3,76.9,6.077,4.17
2012-06-28,31.6,25.7,28.7,73.9,0,0
2012-06-29,32.1,26.6,29,75.5,0.36,4.17
2012-06-30,30,26.7,28.2,78.9,1.736,4.17
2012-07-01,31.6,26.4,28.4,79.1,0,0
2012-07-02,30.7,25.7,27.9,81,10.697,8.33
2012-07-03,29.3,24.2,27,85.8,3.751,8.33
2012-07-04,29.9,25.4,27.6,81.1,3.638,4.17
2012-07-05,29.2,23,26,89.9,36.018,16.67
2012-07-06,30.9,25.5,28.2,79.1,0,0
2012-07-07,30.3,25.6,27.7,81.8,8.682,8.33
2012-07-08,31.8,24,28.1,74.8,1.736,4.17
2012-07-09,30.6,27.2,28.7,77.4,0.348,8.33
2012-07-10,31.3,25.9,27.7,82.4,3.82,8.33
2012-07-11,30.4,25.7,27.5,83.9,0.868,4.17
2012-07-12,31.2,25.9,28.2,78.8,0,0
2012-07-13,31.5,26.9,28.9,76.2,0,0
2012-07-14,28,25.6,26.5,88.4,25.524,16.67
2012-07-15,30.9,25.5,27.6,82.1,0,0
2012-07-16,29.3,25.3,26.5,86.7,6.077,4.17
2012-07-17,31.1,25,27.1,83.3,0,0
2012-07-18,30.2,24.7,27.4,82.2,2.631,12.5
2012-07-19,29.6,25.4,26.8,85.3,16.91,12.5
2012-07-20,31.3,24.6,28,81.5,0,0
2012-07-21,32.5,26.4,29,76.1,0.434,4.17
2012-07-22,32.5,26.6,29.3,75.3,0,0
2012-07-23,31.6,26.6,29.2,72.5,0,0
2012-07-24,32.2,26.2,29.1,66.4,0,0
2012-07-25,32.5,25.6,28.9,73.6,0,0
2012-07-26,32,27.4,29.5,73.9,0,0
2012-07-27,32.2,26.7,29.3,74.8,0,0
2012-07-28,32.5,26,28.6,76.6,0,0
2012-07-29,31.5,25.6,28.6,76.8,0,0
2012-07-30,32.2,26.8,29.2,73.6,0.174,4.17
