ds,dengue_cases,tempmax,tempmin,temp,humidity,precip,precipcover,google_trends,population
2012-01-02,74,31.65,25.450000000000003,27.75,84.15,0.2605,2.085,9,5300000
2012-01-09,64,30.285714285714285,24.957142857142856,27.071428571428573,81.60000000000001,3.633714285714286,5.952857142857143,9,5300000
2012-01-16,60,30.557142857142857,24.357142857142858,27.142857142857142,82.7,3.050285714285714,5.952857142857143,9,5300000
2012-01-23,50,31.642857142857142,24.657142857142855,27.014285714285712,85.14285714285714,4.107,5.952857142857143,9,5300000
2012-01-30,84,30.942857142857143,24.642857142857142,27.3,79.2,0.44657142857142856,1.1914285714285715,9,5300000
2012-02-06,87,30.071428571428573,24.328571428571426,26.814285714285713,84.78571428571429,7.081142857142857,4.1657142857142855,10,5300000
2012-02-13,65,32.2,24.885714285714283,27.785714285714285,78.48571428571428,0.6201428571428572,0.5957142857142858,10,5300000
2012-02-20,50,31.442857142857143,24.771428571428572,27.014285714285712,84.32857142857142,4.2415714285714285,3.5728571428571425,10,5300000
2012-02-27,55,32.1,25.657142857142855,28.228571428571428,80.48571428571428,0.31599999999999995,2.9771428571428573,10,5300000
2012-03-05,45,31.342857142857145,25.014285714285712,27.485714285714288,83.39999999999999,7.058571428571429,6.547142857142857,11,5300000
2012-03-12,64,30.557142857142857,24.928571428571427,27.385714285714283,82.78571428571429,2.8682857142857148,7.142857142857143,11,5300000
2012-03-19,72,31.214285714285715,24.75714285714286,27.24285714285714,83.22857142857143,9.343714285714286,5.357142857142857,11,5300000
2012-03-26,48,32.08571428571428,25.142857142857142,27.82857142857143,83.21428571428571,0.8681428571428571,2.9771428571428573,11,5300000
2012-04-02,52,31.785714285714285,24.442857142857143,27.542857142857144,81.58571428571429,12.144714285714286,4.762857142857143,10,5300000
2012-04-09,81,31.585714285714285,24.8,27.514285714285712,83.2,6.970142857142856,3.5714285714285716,10,5300000
2012-04-16,77,31.714285714285715,25.099999999999998,27.75714285714286,84.12857142857142,15.850714285714286,6.545714285714285,10,5300000
2012-04-23,64,31.557142857142853,25.314285714285713,28.071428571428573,82.18571428571428,5.728714285714285,5.357142857142857,10,5300000
2012-04-30,86,32.714285714285715,25.97142857142857,28.900000000000002,79.14285714285714,0.9790000000000001,4.762857142857143,10,5300000
2012-05-07,96,31.32857142857143,24.571428571428573,27.82857142857143,83.05714285714285,15.833857142857143,5.357142857142857,11,5300000
2012-05-14,80,33.142857142857146,25.114285714285717,28.814285714285713,78.57142857142857,5.5768571428571425,4.761428571428572,11,5300000
2012-05-21,80,32.32857142857143,25.814285714285713,28.928571428571427,79.71428571428571,6.461714285714286,2.9757142857142855,11,5300000
2012-05-28,81,31.5,25.571428571428573,28.614285714285717,79.38571428571429,5.040142857142857,3.5714285714285716,11,5300000
2012-06-04,99,31.842857142857145,26.24285714285714,28.657142857142855,81.25714285714285,5.153999999999999,3.5714285714285716,13,5300000
2012-06-11,87,31.942857142857143,26.271428571428572,29.042857142857144,77.0,4.673285714285714,3.5728571428571434,13,5300000
2012-06-18,128,32.699999999999996,26.97142857142857,29.814285714285713,72.84285714285714,0.0,0.0,13,5300000
2012-06-25,151,32.357142857142854,26.642857142857142,29.085714285714285,76.3,0.124,0.5957142857142858,13,5300000
2012-07-02,140,31.271428571428572,26.32857142857143,28.514285714285712,77.2,2.6957142857142853,2.9771428571428573,14,5300000
2012-07-09,131,30.285714285714285,24.985714285714288,27.614285714285717,81.41428571428571,7.738999999999999,7.142857142857143,14,5300000
2012-07-16,124,30.37142857142857,25.82857142857143,27.557142857142857,82.64285714285714,5.184142857142858,4.762857142857143,14,5300000
2012-07-23,110,31.25714285714286,25.614285714285717,28.114285714285717,79.45714285714287,2.8535714285714286,4.167142857142857,14,5300000
2012-07-30,94,32.15714285714286,26.32857142857143,29.02857142857143,73.67142857142858,0.024857142857142855,0.5957142857142858,14,5300000
2012-08-06,127,30.885714285714283,26.142857142857142,28.285714285714285,78.28571428571429,2.900857142857143,2.9771428571428573,10,5300000
2012-08-13,115,32.028571428571425,26.17142857142857,28.900000000000002,73.85714285714286,0.0,0.0,10,5300000
2012-08-20,92,31.542857142857144,26.014285714285712,28.557142857142857,76.35714285714286,3.8445714285714283,2.9757142857142855,10,5300000
2012-08-27,102,30.957142857142856,25.614285714285717,28.042857142857144,78.8,5.976428571428571,1.7871428571428571,10,5300000
2012-09-03,75,30.471428571428568,25.657142857142855,27.82857142857143,80.85714285714286,2.0094285714285713,4.1657142857142855,11,5300000
2012-09-10,73,30.985714285714288,24.8,27.442857142857143,81.3,8.259428571428572,4.761428571428572,11,5300000
2012-09-17,72,31.67142857142857,26.3,28.714285714285715,74.97142857142856,0.248,0.5957142857142858,11,5300000
2012-09-24,99,32.471428571428575,25.928571428571427,28.728571428571428,76.97142857142856,0.0,0.0,11,5300000
2012-10-01,103,32.285714285714285,24.842857142857145,28.3,77.32857142857142,4.933857142857143,5.357142857142857,13,5300000
2012-10-08,122,32.31428571428571,25.942857142857143,28.75714285714286,75.22857142857143,2.1084285714285715,1.1914285714285715,13,5300000
2012-10-15,105,32.24285714285714,25.37142857142857,27.97142857142857,80.21428571428571,5.001,4.1657142857142855,13,5300000
2012-10-22,84,31.199999999999996,24.91428571428571,27.042857142857144,84.77142857142857,6.944857142857143,10.712857142857143,13,5300000
2012-10-29,104,33.48571428571429,26.0,29.285714285714285,72.65714285714286,0.0,0.0,13,5300000
2012-11-05,99,31.157142857142855,24.75714285714286,27.2,81.64285714285714,4.705571428571429,10.120000000000001,11,5300000
