epi_week,disease,dengue_cases,datetime
2014-W34,Dengue Fever,367,2014-08-31
2014-W35,Dengue Fever,339,2014-09-07
2014-W36,Dengue Fever,362,2014-09-14
2014-W37,Dengue Fever,396,2014-09-21
2014-W38,Dengue Fever,344,2014-09-28
2014-W39,Dengue Fever,339,2014-10-05
2014-W40,Dengue Fever,278,2014-10-12
2014-W41,Dengue Fever,297,2014-10-19
2014-W42,Dengue Fever,213,2014-10-26
2014-W43,Dengue Fever,186,2014-11-02
2014-W44,Dengue Fever,168,2014-11-09
2014-W45,Dengue Fever,158,2014-11-16
2014-W46,Dengue Fever,149,2014-11-23
2014-W47,Dengue Fever,162,2014-11-30
2014-W48,Dengue Fever,212,2014-12-07
2014-W49,Dengue Fever,177,2014-12-14
2014-W50,Dengue Fever,198,2014-12-21
2014-W51,Dengue Fever,188,2014-12-28
2014-W52,Dengue Fever,158,2015-01-04
2015-W01,Dengue Fever,256,2015-01-04
2015-W02,Dengue Fever,228,2015-01-11
2015-W03,Dengue Fever,237,2015-01-18
2015-W04,Dengue Fever,259,2015-01-25
2015-W05,Dengue Fever,212,2015-02-01
2015-W06,Dengue Fever,173,2015-02-08
2015-W07,Dengue Fever,99,2015-02-15
2015-W08,Dengue Fever,172,2015-02-22
2015-W09,Dengue Fever,189,2015-03-01
2015-W10,Dengue Fever,110,2015-03-08
2015-W11,Dengue Fever,91,2015-03-15
2015-W12,Dengue Fever,129,2015-03-22
2015-W13,Dengue Fever,90,2015-03-29
2015-W14,Dengue Fever,107,2015-04-05
2015-W15,Dengue Fever,137,2015-04-12
2015-W16,Dengue Fever,113,2015-04-19
2015-W17,Dengue Fever,120,2015-04-26
2015-W18,Dengue Fever,135,2015-05-03
2015-W19,Dengue Fever,157,2015-05-10
2015-W20,Dengue Fever,109,2015-05-17
2015-W21,Dengue Fever,178,2015-05-24
2015-W22,Dengue Fever,151,2015-05-31
2015-W23,Dengue Fever,192,2015-06-07
2015-W24,Dengue Fever,207,2015-06-14
2015-W25,Dengue Fever,240,2015-06-21
2015-W26,Dengue Fever,242,2015-06-28
2015-W27,Dengue Fever,272,2015-07-05
2015-W28,Dengue Fever,263,2015-07-12
2015-W29,Dengue Fever,293,2015-07-19
2015-W30,Dengue Fever,250,2015-07-26
2015-W31,Dengue Fever,226,2015-08-02
2015-W32,Dengue Fever,221,2015-08-09
2015-W33,Dengue Fever,250,2015-08-16
2015-W34,Dengue Fever,225,2015-08-23
2015-W35,Dengue Fever,246,2015-08-30
2015-W36,Dengue Fever,217,2015-09-06
2015-W37,Dengue Fever,303,2015-09-13
2015-W38,Dengue Fever,214,2015-09-20
2015-W39,Dengue Fever,257,2015-09-27
2015-W40,Dengue Fever,235,2015-10-04
2015-W41,Dengue Fever,235,2015-10-11
2015-W42,Dengue Fever,224,2015-10-18
2015-W43,Dengue Fever,246,2015-10-25
2015-W44,Dengue Fever,266,2015-11-01
2015-W45,Dengue Fever,198,2015-11-08
2015-W46,Dengue Fever,254,2015-11-15
2015-W47,Dengue Fever,285,2015-11-22
2015-W48,Dengue Fever,259,2015-11-29
2015-W49,Dengue Fever,356,2015-12-06
2015-W50,Dengue Fever,333,2015-12-13
2015-W51,Dengue Fever,372,2015-12-20
2015-W52,Dengue Fever,458,2015-12-27
2016-W01,Dengue Fever,549,2016-01-03
2016-W02,Dengue Fever,628,2016-01-10
2016-W03,Dengue Fever,635,2016-01-17
2016-W04,Dengue Fever,629,2016-01-24
2016-W05,Dengue Fever,528,2016-01-31
2016-W06,Dengue Fever,420,2016-02-07
2016-W07,Dengue Fever,592,2016-02-14
2016-W08,Dengue Fever,508,2016-02-21
2016-W09,Dengue Fever,412,2016-02-28
2016-W10,Dengue Fever,396,2016-03-06
2016-W11,Dengue Fever,373,2016-03-13
2016-W12,Dengue Fever,306,2016-03-20
2016-W13,Dengue Fever,376,2016-03-27
2016-W14,Dengue Fever,290,2016-04-03
2016-W15,Dengue Fever,225,2016-04-10
2016-W16,Dengue Fever,231,2016-04-17
2016-W17,Dengue Fever,244,2016-04-24
2016-W18,Dengue Fever,181,2016-05-01
2016-W19,Dengue Fever,217,2016-05-08
2016-W20,Dengue Fever,212,2016-05-15
2016-W21,Dengue Fever,198,2016-05-22
2016-W22,Dengue Fever,219,2016-05-29
2016-W23,Dengue Fever,159,2016-06-05
2016-W24,Dengue Fever,192,2016-06-12
2016-W25,Dengue Fever,215,2016-06-19
2016-W26,Dengue Fever,234,2016-06-26
2016-W27,Dengue Fever,246,2016-07-03
2016-W28,Dengue Fever,223,2016-07-10
2016-W29,Dengue Fever,266,2016-07-17
2016-W30,Dengue Fever,221,2016-07-24
2016-W31,Dengue Fever,211,2016-07-31
2016-W32,Dengue Fever,197,2016-08-07
2016-W33,Dengue Fever,221,2016-08-14
2016-W34,Dengue Fever,274,2016-08-21
2016-W35,Dengue Fever,310,2016-08-28
2016-W36,Dengue Fever,242,2016-09-04
2016-W37,Dengue Fever,174,2016-09-11
2016-W38,Dengue Fever,173,2016-09-18
2016-W39,Dengue Fever,138,2016-09-25
2016-W40,Dengue Fever,125,2016-10-02
2016-W41,Dengue Fever,94,2016-10-09
2016-W42,Dengue Fever,108,2016-10-16
2016-W43,Dengue Fever,84,2016-10-23
2016-W44,Dengue Fever,85,2016-10-30
2016-W45,Dengue Fever,84,2016-11-06
2016-W46,Dengue Fever,72,2016-11-13
2016-W47,Dengue Fever,74,2016-11-20
2016-W48,Dengue Fever,86,2016-11-27
2016-W49,Dengue Fever,59,2016-12-04
2016-W50,Dengue Fever,81,2016-12-11
2016-W51,Dengue Fever,72,2016-12-18
2016-W52,Dengue Fever,64,2016-12-25
2017-W01,Dengue Fever,70,2017-01-01
2017-W02,Dengue Fever,90,2017-01-08
2017-W03,Dengue Fever,74,2017-01-15
2017-W04,Dengue Fever,66,2017-01-22
2017-W05,Dengue Fever,62,2017-01-29
2017-W06,Dengue Fever,77,2017-02-05
2017-W07,Dengue Fever,51,2017-02-12
2017-W08,Dengue Fever,54,2017-02-19
2017-W09,Dengue Fever,41,2017-02-26
2017-W10,Dengue Fever,32,2017-03-05
2017-W11,Dengue Fever,34,2017-03-12
2017-W12,Dengue Fever,32,2017-03-19
2017-W13,Dengue Fever,49,2017-03-26
2017-W14,Dengue Fever,37,2017-04-02
2017-W15,Dengue Fever,32,2017-04-09
2017-W16,Dengue Fever,51,2017-04-16
2017-W17,Dengue Fever,37,2017-04-23
2017-W18,Dengue Fever,42,2017-04-30
2017-W19,Dengue Fever,48,2017-05-07
2017-W20,Dengue Fever,48,2017-05-14
2017-W21,Dengue Fever,50,2017-05-21
2017-W22,Dengue Fever,66,2017-05-28
2017-W23,Dengue Fever,62,2017-06-04
2017-W24,Dengue Fever,79,2017-06-11
2017-W25,Dengue Fever,73,2017-06-18
2017-W26,Dengue Fever,75,2017-06-25
2017-W27,Dengue Fever,63,2017-07-02
2017-W28,Dengue Fever,53,2017-07-09
2017-W29,Dengue Fever,51,2017-07-16
2017-W30,Dengue Fever,66,2017-07-23
2017-W31,Dengue Fever,60,2017-07-30
2017-W32,Dengue Fever,56,2017-08-06
2017-W33,Dengue Fever,52,2017-08-13
2017-W34,Dengue Fever,51,2017-08-20
2017-W35,Dengue Fever,33,2017-08-27
2017-W36,Dengue Fever,40,2017-09-03
2017-W37,Dengue Fever,53,2017-09-10
2017-W38,Dengue Fever,58,2017-09-17
2017-W39,Dengue Fever,39,2017-09-24
2017-W40,Dengue Fever,51,2017-10-01
2017-W41,Dengue Fever,55,2017-10-08
2017-W42,Dengue Fever,62,2017-10-15
2017-W43,Dengue Fever,77,2017-10-22
2017-W44,Dengue Fever,62,2017-10-29
2017-W45,Dengue Fever,44,2017-11-05
2017-W46,Dengue Fever,50,2017-11-12
2017-W47,Dengue Fever,24,2017-11-19
2017-W48,Dengue Fever,37,2017-11-26
2017-W49,Dengue Fever,33,2017-12-03
2017-W50,Dengue Fever,40,2017-12-10
2017-W51,Dengue Fever,51,2017-12-17
2017-W52,Dengue Fever,66,2017-12-24
2017-W53,Dengue Fever,83,2018-01-07
2018-W01,Dengue Fever,68,2018-01-14
2018-W02,Dengue Fever,54,2018-01-21
2018-W03,Dengue Fever,45,2018-01-28
2018-W04,Dengue Fever,48,2018-02-04
2018-W05,Dengue Fever,50,2018-02-11
2018-W06,Dengue Fever,28,2018-02-18
2018-W07,Dengue Fever,38,2018-02-25
2018-W08,Dengue Fever,51,2018-03-04
2018-W09,Dengue Fever,37,2018-03-11
2018-W10,Dengue Fever,37,2018-03-18
2018-W11,Dengue Fever,36,2018-03-25
2018-W12,Dengue Fever,24,2018-04-01
2018-W13,Dengue Fever,38,2018-04-08
2018-W14,Dengue Fever,38,2018-04-15
2018-W15,Dengue Fever,56,2018-04-22
2018-W16,Dengue Fever,55,2018-04-29
2018-W17,Dengue Fever,74,2018-05-06
2018-W18,Dengue Fever,62,2018-05-13
2018-W19,Dengue Fever,63,2018-05-20
2018-W20,Dengue Fever,64,2018-05-27
2018-W21,Dengue Fever,52,2018-06-03
2018-W22,Dengue Fever,75,2018-06-10
2018-W23,Dengue Fever,55,2018-06-17
2018-W24,Dengue Fever,59,2018-06-24
2018-W25,Dengue Fever,75,2018-07-01
2018-W26,Dengue Fever,56,2018-07-08
2018-W27,Dengue Fever,44,2018-07-15
2018-W28,Dengue Fever,41,2018-07-22
2018-W29,Dengue Fever,56,2018-07-29
2018-W30,Dengue Fever,50,2018-08-05
2018-W31,Dengue Fever,59,2018-08-12
2018-W32,Dengue Fever,42,2018-08-19
2018-W33,Dengue Fever,66,2018-08-26
2018-W34,Dengue Fever,75,2018-09-02
2018-W35,Dengue Fever,75,2018-09-09
2018-W36,Dengue Fever,49,2018-09-16
2018-W37,Dengue Fever,63,2018-09-23
2018-W38,Dengue Fever,40,2018-09-30
2018-W39,Dengue Fever,51,2018-10-07
2018-W40,Dengue Fever,51,2018-10-14
2018-W41,Dengue Fever,60,2018-10-21
2018-W42,Dengue Fever,78,2018-10-28
2018-W43,Dengue Fever,75,2018-11-04
2018-W44,Dengue Fever,71,2018-11-11
2018-W45,Dengue Fever,78,2018-11-18
2018-W46,Dengue Fever,97,2018-11-25
2018-W47,Dengue Fever,109,2018-12-02
2018-W48,Dengue Fever,114,2018-12-09
2018-W49,Dengue Fever,107,2018-12-16
2018-W50,Dengue Fever,127,2018-12-23
2018-W51,Dengue Fever,160,2018-12-30
2018-W52,Dengue Fever,205,2019-01-06
2019-W01,Dengue Fever,245,2019-01-13
2019-W02,Dengue Fever,207,2019-01-20
2019-W03,Dengue Fever,221,2019-01-27
2019-W04,Dengue Fever,179,2019-02-03
2019-W05,Dengue Fever,135,2019-02-10
2019-W06,Dengue Fever,232,2019-02-17
2019-W07,Dengue Fever,181,2019-02-24
2019-W08,Dengue Fever,156,2019-03-03
2019-W09,Dengue Fever,133,2019-03-10
2019-W10,Dengue Fever,109,2019-03-17
2019-W11,Dengue Fever,96,2019-03-24
2019-W12,Dengue Fever,99,2019-03-31
2019-W13,Dengue Fever,108,2019-04-07
2019-W14,Dengue Fever,125,2019-04-14
2019-W15,Dengue Fever,134,2019-04-21
2019-W16,Dengue Fever,156,2019-04-28
2019-W17,Dengue Fever,192,2019-05-05
2019-W18,Dengue Fever,287,2019-05-12
2019-W19,Dengue Fever,307,2019-05-19
2019-W20,Dengue Fever,376,2019-05-26
2019-W21,Dengue Fever,400,2019-06-02
2019-W22,Dengue Fever,396,2019-06-09
2019-W23,Dengue Fever,464,2019-06-16
2019-W24,Dengue Fever,430,2019-06-23
2019-W25,Dengue Fever,492,2019-06-30
2019-W26,Dengue Fever,591,2019-07-07
2019-W27,Dengue Fever,661,2019-07-14
2019-W28,Dengue Fever,644,2019-07-21
2019-W29,Dengue Fever,601,2019-07-28
2019-W30,Dengue Fever,597,2019-08-04
2019-W31,Dengue Fever,521,2019-08-11
2019-W32,Dengue Fever,522,2019-08-18
2019-W33,Dengue Fever,474,2019-08-25
2019-W34,Dengue Fever,412,2019-09-01
2019-W35,Dengue Fever,326,2019-09-08
2019-W36,Dengue Fever,314,2019-09-15
2019-W37,Dengue Fever,299,2019-09-22
2019-W38,Dengue Fever,258,2019-09-29
2019-W39,Dengue Fever,243,2019-10-06
2019-W40,Dengue Fever,226,2019-10-13
2019-W41,Dengue Fever,239,2019-10-20
2019-W42,Dengue Fever,241,2019-10-27
2019-W43,Dengue Fever,306,2019-11-03
2019-W44,Dengue Fever,321,2019-11-10
2019-W45,Dengue Fever,372,2019-11-17
2019-W46,Dengue Fever,329,2019-11-24
2019-W47,Dengue Fever,295,2019-12-01
2019-W48,Dengue Fever,280,2019-12-08
2019-W49,Dengue Fever,257,2019-12-15
2019-W50,Dengue Fever,226,2019-12-22
2019-W51,Dengue Fever,290,2019-12-29
2019-W52,Dengue Fever,302,2020-01-05
2020-W01,Dengue Fever,342,2020-01-12
2020-W02,Dengue Fever,402,2020-01-19
2020-W03,Dengue Fever,307,2020-01-26
2020-W04,Dengue Fever,370,2020-02-02
2020-W05,Dengue Fever,400,2020-02-09
2020-W06,Dengue Fever,378,2020-02-16
2020-W07,Dengue Fever,380,2020-02-23
2020-W08,Dengue Fever,373,2020-03-01
2020-W09,Dengue Fever,375,2020-03-08
2020-W10,Dengue Fever,389,2020-03-15
2020-W11,Dengue Fever,367,2020-03-22
2020-W12,Dengue Fever,377,2020-03-29
2020-W13,Dengue Fever,315,2020-04-05
2020-W14,Dengue Fever,341,2020-04-12
2020-W15,Dengue Fever,360,2020-04-19
2020-W16,Dengue Fever,399,2020-04-26
2020-W17,Dengue Fever,390,2020-05-03
2020-W18,Dengue Fever,502,2020-05-10
2020-W19,Dengue Fever,524,2020-05-17
2020-W20,Dengue Fever,618,2020-05-24
2020-W21,Dengue Fever,731,2020-05-31
2020-W22,Dengue Fever,868,2020-06-07
2020-W23,Dengue Fever,1151,2020-06-14
2020-W24,Dengue Fever,1369,2020-06-21
2020-W25,Dengue Fever,1460,2020-06-28
2020-W26,Dengue Fever,1444,2020-07-05
2020-W27,Dengue Fever,1665,2020-07-12
2020-W28,Dengue Fever,1725,2020-07-19
2020-W29,Dengue Fever,1791,2020-07-26
2020-W30,Dengue Fever,1376,2020-08-02
2020-W31,Dengue Fever,1667,2020-08-09
2020-W32,Dengue Fever,1336,2020-08-16
2020-W33,Dengue Fever,1285,2020-08-23
2020-W34,Dengue Fever,1153,2020-08-30
2020-W35,Dengue Fever,937,2020-09-06
2020-W36,Dengue Fever,725,2020-09-13
2020-W37,Dengue Fever,671,2020-09-20
2020-W38,Dengue Fever,590,2020-09-27
2020-W39,Dengue Fever,605,2020-10-04
2020-W40,Dengue Fever,528,2020-10-11
2020-W41,Dengue Fever,591,2020-10-18
2020-W42,Dengue Fever,563,2020-10-25
2020-W43,Dengue Fever,440,2020-11-01
2020-W44,Dengue Fever,408,2020-11-08
2020-W45,Dengue Fever,354,2020-11-15
2020-W46,Dengue Fever,258,2020-11-22
2020-W47,Dengue Fever,279,2020-11-29
2020-W48,Dengue Fever,228,2020-12-06
2020-W49,Dengue Fever,227,2020-12-13
2020-W50,Dengue Fever,236,2020-12-20
2020-W51,Dengue Fever,196,2020-12-27
2020-W52,Dengue Fever,193,2021-01-03
2021-W01,Dengue Fever,194,2021-01-03
2021-W02,Dengue Fever,165,2021-01-10
2021-W03,Dengue Fever,151,2021-01-17
2021-W04,Dengue Fever,135,2021-01-24
2021-W05,Dengue Fever,141,2021-01-31
2021-W06,Dengue Fever,142,2021-02-07
2021-W07,Dengue Fever,148,2021-02-14
2021-W08,Dengue Fever,145,2021-02-21
2021-W09,Dengue Fever,139,2021-02-28
2021-W10,Dengue Fever,145,2021-03-07
2021-W11,Dengue Fever,129,2021-03-14
2021-W12,Dengue Fever,120,2021-03-21
2021-W13,Dengue Fever,113,2021-03-28
