datetime,dengue_cases,tempmax,tempmin,temp,humidity,precip,precipcover,number_of_searches,total_population
2012-06-03,99,31.785714285714285,25.985714285714288,28.614285714285717,80.81428571428572,4.906,2.9757142857142855,13,5312437.0
2012-06-10,87,32.08571428571428,26.3,29.042857142857144,77.2,4.921285714285714,4.168571428571428,13,5312437.0
2012-06-17,128,32.47142857142857,27.057142857142857,29.728571428571428,73.97142857142856,0.0,0.0,13,5312437.0
2012-06-24,151,32.4,26.657142857142855,29.17142857142857,75.91428571428571,0.124,0.5957142857142858,13,5312437.0
2012-07-01,140,31.585714285714285,26.457142857142856,28.714285714285715,76.38571428571429,1.1675714285714285,1.7871428571428571,14,5312437.0
2012-07-08,131,30.3,24.771428571428572,27.5,81.92857142857143,9.217428571428572,7.142857142857143,14,5312437.0
2012-07-15,124,30.557142857142857,26.099999999999998,27.87142857142857,81.31428571428572,4.365714285714286,5.357142857142857,14,5312437.0
2012-07-22,110,30.928571428571427,25.428571428571427,27.728571428571428,81.48571428571428,3.7217142857142855,4.762857142857143,14,5312437.0
2012-07-29,94,32.07142857142857,26.3,29.02857142857143,73.51428571428572,0.0,0.0,14,5312437.0
2012-08-05,127,31.228571428571428,26.3,28.442857142857143,77.38571428571429,2.9257142857142857,3.5728571428571425,10,5312437.0
2012-08-12,115,31.728571428571428,26.071428571428573,28.771428571428572,74.57142857142857,0.0,0.0,10,5312437.0
2012-08-19,92,31.485714285714288,25.985714285714288,28.571428571428573,76.47142857142856,3.8445714285714283,2.9757142857142855,10,5312437.0
2012-08-26,102,31.3,25.942857142857143,28.342857142857145,77.32857142857142,3.868,1.1914285714285715,10,5312437.0
2012-09-02,75,30.185714285714287,25.32857142857143,27.52857142857143,82.2,4.117857142857143,4.761428571428572,11,5312437.0
2012-09-09,73,31.32857142857143,25.071428571428573,27.7,80.28571428571429,8.259428571428572,4.761428571428572,11,5312437.0
2012-09-16,72,31.314285714285713,26.02857142857143,28.485714285714288,75.60000000000001,0.248,0.5957142857142858,11,5312437.0
2012-09-23,99,32.357142857142854,26.057142857142857,28.74285714285714,77.17142857142858,0.0,0.0,11,5312437.0
2012-09-30,103,32.05714285714286,24.985714285714288,28.25714285714286,77.24285714285715,4.933857142857143,5.357142857142857,11,5312437.0
2012-10-07,122,32.5,25.82857142857143,28.74285714285714,75.77142857142857,2.1084285714285715,1.1914285714285715,13,5312437.0
2012-10-14,105,32.285714285714285,25.457142857142856,28.071428571428573,79.22857142857143,4.9761428571428565,3.5700000000000003,13,5312437.0
2012-10-21,84,31.12857142857143,24.91428571428571,27.114285714285717,84.64285714285714,6.900571428571429,10.712857142857143,13,5312437.0
2012-10-28,104,33.471428571428575,25.885714285714283,29.114285714285717,73.7,0.06914285714285714,0.5957142857142858,13,5312437.0
2012-11-04,99,31.642857142857142,25.0,27.5,80.38571428571429,3.6750000000000003,7.738571428571428,11,5312437.0
2012-11-11,87,31.457142857142856,25.271428571428572,27.52857142857143,82.78571428571429,4.399857142857143,6.548571428571429,11,5312437.0
2012-11-18,99,31.957142857142856,25.0,27.47142857142857,83.31428571428572,5.232428571428572,5.357142857142857,11,5312437.0
2012-11-25,80,31.285714285714285,25.114285714285717,27.542857142857144,83.15714285714286,13.108,7.142857142857143,11,5312437.0
2012-12-02,78,31.714285714285715,25.157142857142855,27.8,82.92857142857143,1.254714285714286,3.5728571428571425,10,5312437.0
2012-12-09,104,31.571428571428573,24.942857142857143,27.47142857142857,81.82857142857142,8.659857142857144,6.547142857142857,10,5312437.0
2012-12-16,92,31.228571428571428,24.52857142857143,26.842857142857145,85.95714285714287,15.143857142857142,14.87857142857143,10,5312437.0
2012-12-23,111,31.25714285714286,24.542857142857144,27.02857142857143,85.04285714285713,9.464,10.715714285714286,10,5312437.0
2012-12-30,132,30.099999999999998,25.02857142857143,27.057142857142857,83.57142857142857,1.8277142857142858,6.547142857142857,10,5312437.0
2013-01-06,204,31.7,24.485714285714288,27.385714285714283,82.64285714285714,21.14085714285714,5.952857142857143,15,5399162.0
2013-01-13,219,32.385714285714286,25.185714285714287,27.814285714285713,78.54285714285713,11.073142857142857,4.167142857142857,15,5399162.0
2013-01-20,264,29.728571428571428,24.87142857142857,26.728571428571428,81.45714285714287,17.175,10.714285714285714,15,5399162.0
2013-01-27,292,30.97142857142857,24.728571428571428,27.357142857142858,79.24285714285715,0.6662857142857144,3.5714285714285716,15,5399162.0
2013-02-03,322,31.328571428571426,25.357142857142858,27.814285714285713,76.67142857142858,5.051571428571428,2.9757142857142855,21,5399162.0
2013-02-10,246,29.928571428571427,24.357142857142858,26.47142857142857,87.41428571428571,9.495571428571427,11.308571428571428,21,5399162.0
2013-02-17,294,29.228571428571428,24.271428571428572,26.02857142857143,87.82857142857142,17.83,10.714285714285714,21,5399162.0
2013-02-24,247,31.099999999999998,25.014285714285712,27.557142857142857,78.67142857142858,2.5662857142857143,4.761428571428572,21,5399162.0
2013-03-03,272,32.385714285714286,25.185714285714287,28.014285714285712,82.35714285714286,14.281714285714285,8.332857142857142,19,5399162.0
2013-03-10,307,32.01428571428571,25.87142857142857,28.17142857142857,77.25714285714285,0.5559999999999999,2.3814285714285717,19,5399162.0
2013-03-17,305,33.042857142857144,25.514285714285712,28.357142857142858,77.54285714285716,0.10728571428571429,1.19,19,5399162.0
2013-03-24,314,33.34285714285714,26.32857142857143,28.957142857142856,75.48571428571428,5.047857142857143,1.7857142857142858,19,5399162.0
2013-03-31,402,33.1,26.17142857142857,28.87142857142857,79.85714285714286,2.640857142857143,2.9771428571428573,19,5399162.0
2013-04-07,491,33.2,26.47142857142857,28.82857142857143,80.18571428571428,9.416142857142857,5.36,49,5399162.0
2013-04-14,505,32.42857142857143,25.814285714285713,28.585714285714285,78.81428571428572,2.2094285714285715,3.5714285714285716,49,5399162.0
2013-04-21,536,33.114285714285714,25.685714285714287,29.071428571428573,78.38571428571429,3.4675714285714285,5.951428571428571,49,5399162.0
2013-04-28,547,31.914285714285715,25.5,28.24285714285714,81.8,4.523571428571429,5.951428571428571,49,5399162.0
2013-05-05,556,31.985714285714288,26.599999999999998,28.771428571428572,81.44285714285715,1.2072857142857143,3.5714285714285716,49,5399162.0
2013-05-12,611,32.55714285714286,25.82857142857143,28.400000000000002,83.21428571428571,10.898142857142858,6.547142857142857,49,5399162.0
2013-05-19,637,32.957142857142856,26.442857142857143,29.271428571428572,78.05714285714285,5.890142857142857,4.762857142857143,49,5399162.0
2013-05-26,742,32.128571428571426,26.057142857142857,28.47142857142857,81.55714285714285,4.0677142857142865,4.761428571428572,49,5399162.0
2013-06-02,813,32.51428571428571,25.17142857142857,28.228571428571428,80.08571428571429,5.759857142857143,5.355714285714286,100,5399162.0
2013-06-09,805,32.98571428571429,25.400000000000002,28.25714285714286,81.75714285714285,5.491714285714286,4.168571428571428,100,5399162.0
2013-06-16,838,33.714285714285715,27.52857142857143,30.457142857142856,68.07142857142857,2.993142857142857,1.1914285714285715,100,5399162.0
2013-06-23,802,34.48571428571429,27.2,30.599999999999998,62.05714285714286,0.2302857142857143,1.19,100,5399162.0
2013-06-30,676,32.457142857142856,26.485714285714288,29.25714285714286,75.81428571428572,1.3548571428571428,2.9771428571428573,100,5399162.0
2013-07-07,540,31.6,26.17142857142857,28.557142857142857,76.34285714285714,3.603857142857143,4.761428571428572,46,5399162.0
2013-07-14,389,30.942857142857143,25.385714285714283,27.957142857142856,79.81428571428572,6.227142857142858,7.738571428571428,46,5399162.0
2013-07-21,305,31.814285714285713,25.685714285714287,28.014285714285712,79.11428571428571,6.143142857142856,6.547142857142857,46,5399162.0
2013-07-28,288,31.785714285714285,25.614285714285717,28.342857142857145,78.47142857142856,6.317428571428572,4.762857142857143,46,5399162.0
2013-08-04,255,30.985714285714288,25.02857142857143,28.214285714285715,77.51428571428572,3.3337142857142856,4.167142857142857,29,5399162.0
2013-08-11,378,30.985714285714288,24.599999999999998,27.82857142857143,79.45714285714287,13.192285714285715,7.1414285714285715,29,5399162.0
